CruiseDate,Depth,Lat,Lon,Species,NumberOfIndividuals,TotalWeight,Commercial,Season
10/27/2013,15,31.79678333,34.61458333,Upeneus pori,15,94.1,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,4,13.9,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Leiognathus klunzingeri,NA,909.4,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Stephanolepis diaspros,1,4.2,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Caranx crysos,1,33.1,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Fistularia commersonii,4,7.9,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Sardinella aurita,1,16.9,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Lagocephalus suezensis,2,23.2,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Lagocephalus spadiceus,1,25.3,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Echeneis naucrates,1,15,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Decapterus russelli,4,16,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Pagrus caeruleostictus,157,6930,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Balistes carolinensis,1,149.6,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Pagellus erythrinus,11,282.2,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Nemipterus randalli,6,504,Commercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,100,767.1,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,100,795.4,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,100,844.4,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,100,836.4,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Plotosus lineatus,NA,87210,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Torquigener flavimaculosus,1,13.5,NonCommercial,autumn
10/27/2013,15,31.79678333,34.61458333,Cynoglossus sinusarabici,1,12.8,NonCommercial,autumn
